Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
r,,14,11,2,0,1,,0,,0,0,317
c,,10,8,5,4,1,,0,,0,0,286
r,,3,4,7,5,4,3,1,,0,0,212
k,,0,2,12,3,4,1,2,0,1,1,175
b,,0,3,,12,4,4,3,1,0,0,170
d,,1,,,0,7,5,3,5,2,0,112
g,,,,,1,2,1,4,4,2,4,60
d,,,,1,3,0,3,1,2,1,0,56
b,,,,,,1,5,4,2,0,1,54
f,,,,,,2,0,1,3,2,1,30
mm,,,,,,0,2,1,2,2,5,29
j,,,,,,0,0,4,2,2,0,26
e,,,,,,1,1,2,0,3,0,25
r,,,,,,0,0,1,2,4,4,22
c,,,,,,0,2,,0,2,2,16
d,,,,,,1,,,0,2,1,11
o,,,,,,,,,2,1,2,10
j,,,,1,,,,,0,0,1,9
k,,,,,,,,,1,1,2,7
a,,,,,,,,,,1,,7
t,,,,,,,,1,,1,,6
w,,,,,,,,,1,1,,5
d,,,,,,,,,1,,,3
c,,,,,,,,,,,2,2
n,,,,,,,,,,,1,1
d,,,,,,,,,,,1,1
