,ï..Player,X,X2nd,X3rd,X4th,X5th,X6th,X7th,X8th,X9th,X10th,Total,X.1,bbwaa_totals,consistent_totals,only_10_totals,gap_13_totals,gap_12_totals,gap_11_totals,gap_13_11_9_7totals,gap_13_12_8totals,benoit_1_totals,benoit_2_totals,benoit_4_totals
1,r,0,14,11,2,0,1,0,0,0,0,0,317,317,261,140,303,289,275,327,336,350,353.5,228
2,c,0,10,8,5,4,1,0,0,0,0,0,286,286,246,100,276,266,256,297,300,296,308,194
3,r,0,3,4,7,5,4,3,1,0,0,0,212,212,200,30,209,206,203,224,221,193.5,209.5,112
4,k,0,0,2,12,3,4,1,2,0,1,1,175,175,175,0,175,175,175,191,181,147,166.5,87
5,b,0,0,3,0,12,4,4,3,1,0,0,170,170,170,0,170,170,170,176,179,141.5,150.5,61
6,d,0,1,0,0,0,7,5,3,5,2,0,112,112,108,10,111,110,109,111,111,101.2,91.5,17
7,g,0,0,0,0,1,2,1,4,4,2,4,60,60,60,0,60,60,60,60,60,55.8,44,5
8,d,0,0,0,1,3,0,3,1,2,1,0,56,56,56,0,56,56,56,57,56,47,46,14
9,b,0,0,0,0,0,1,5,4,2,0,1,54,54,54,0,54,54,54,54,54,49.1,41.5,1
10,f,0,0,0,0,0,2,0,1,3,2,1,30,30,30,0,30,30,30,30,30,28.4,21.5,2
11,mm,0,0,0,0,0,0,2,1,2,2,5,29,29,29,0,29,29,29,29,29,28.3,19.5,0
12,j,0,0,0,0,0,0,0,4,2,2,0,26,26,26,0,26,26,26,26,26,26.6,18,0
13,e,0,0,0,0,0,1,1,2,0,3,0,25,25,25,0,25,25,25,25,25,22.5,18,1
14,r,0,0,0,0,0,0,0,1,2,4,4,22,22,22,0,22,22,22,22,22,22.9,13,0
15,c,0,0,0,0,0,0,2,0,0,2,2,16,16,16,0,16,16,16,16,16,14.4,11,0
16,d,0,0,0,0,0,1,0,0,0,2,1,11,11,11,0,11,11,11,11,11,9.5,7.5,1
17,o,0,0,0,0,0,0,0,0,2,1,2,10,10,10,0,10,10,10,10,10,11,6,0
18,j,0,0,0,1,0,0,0,0,0,0,1,9,9,9,0,9,9,9,10,9,7.5,8.5,5
19,k,0,0,0,0,0,0,0,0,1,1,2,7,7,7,0,7,7,7,7,7,7.5,4,0
20,a,0,0,0,0,0,0,0,0,0,1,0,7,2,2,0,2,2,2,2,2,2,1,0
21,t,0,0,0,0,0,0,0,1,0,1,0,6,6,6,0,6,6,6,6,6,5.9,4,0
22,w,0,0,0,0,0,0,0,0,1,1,0,5,5,5,0,5,5,5,5,5,5.5,3,0
23,d,0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
24,c,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0
25,n,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
26,d,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
