Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
d,,15,5,1,5,0,1,0,1,0,0
k,,3,4,8,3,2,5,1,1,1,0
j,,4,6,3,3,3,2,3,2,0,0
m,,1,0,5,4,3,4,5,4,1,1
d,,2,5,2,4,0,3,,1,1,4
r,,3,4,1,3,1,,,1,0,2
m,,,1,3,3,2,2,5,3,1,2
f,,,,1,3,7,2,4,2,2,1
c,,,2,1,,2,4,,5,5,0
p,,,,1,,4,1,2,3,4,1
c,,,,,,,1,2,2,3,6
e,,,,,,2,1,1,1,2,1
j,,,,,,1,,2,,1,2
r,,,,1,,,,1,,2,0
b,,,,,,,,1,2,3,0
j,,,1,,,,,1,,0,2
k,,,,1,,,1,,,0,0
p,,,,,,1,,,,0,2
j,,,,,,,1,,,0,0
g,,,,,,,,,,1,1
m,,,,,,,,,,0,2
m,,,,,,,,,,1,0
a,,,,,,,,,,,1
