"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","j",0,11,7,5,3,2,0,0,0,0,0,290,246,110,279,268,257,298,300,300.5,312,195
"2","a",0,10,10,4,3,0,0,1,0,0,0,287,247,100,277,267,257,301,307,304.9,313,199
"3","a",0,2,8,10,4,2,1,0,1,0,0,228,220,20,226,224,222,252,250,216.7,235,140
"4","k",0,4,1,2,5,6,3,1,5,1,0,188,172,40,184,180,176,188,187,173.5,174.5,78
"5","m",0,0,1,3,2,5,5,4,4,1,2,134,134,0,134,134,134,139,137,117.1,113.5,33
"6","r",0,0,0,2,5,4,2,3,0,3,1,104,104,0,104,104,104,106,104,83.1,86.5,29
"7","m",0,0,0,2,4,1,4,2,3,5,3,100,100,0,100,100,100,102,100,85.6,79.5,23
"8","f",0,0,0,0,0,4,5,7,2,2,1,88,88,0,88,88,88,88,88,78.3,67.5,4
"9","b",0,0,0,0,0,0,3,3,2,9,2,53,53,0,53,53,53,53,53,51.3,35,0
"10","i",0,1,0,0,0,1,2,3,1,2,3,52,48,10,51,50,49,51,51,50.6,43,11
"11","k",0,0,0,0,1,2,2,0,1,1,0,34,34,0,34,34,34,34,34,27.9,27,5
"12","m",0,0,1,0,0,1,1,1,1,0,0,27,27,0,27,27,27,29,30,26.6,24.5,8
"13","p",0,0,0,0,1,0,0,0,1,2,5,19,19,0,19,19,19,19,19,17.5,12.5,3
"14","a",0,0,0,0,0,0,0,1,2,0,1,11,11,0,11,11,11,11,11,11.9,7.5,0
"15","j",0,0,0,0,0,0,0,1,1,0,2,9,9,0,9,9,9,9,9,9.4,6,0
"16","c",0,0,0,0,0,0,0,0,0,2,4,8,8,0,8,8,8,8,8,8,4,0
"17","j",0,0,0,0,0,0,0,0,2,0,0,6,6,0,6,6,6,6,6,7,4,0
"18","b",0,0,0,0,0,0,0,0,2,0,0,6,6,0,6,6,6,6,6,7,4,0
"19","j",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"20","r",0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,3,3,1.5,0
"21","t",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
