Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
VLADIMIR GUERRERO,Ana. Angels,21,5,1,1,,,,,,,354
GARY SHEFFIELD,New York Yankees,5,8,9,4,2,,,,,,254
MANNY RAMIREZ,Boston Red Sox,1,14,9,2,2,,,,,,238
DAVID ORTIZ,Boston Red Sox,1,,5,9,2,5,5,,,,174
MIGUEL TEJADA,Baltimore Orioles,,1,,6,2,7,2,4,2,1,123
JOHAN SANTANA,Minnesota Twins,,,2,1,7,5,4,2,2,1,117
ICHIRO SUZUKI,Seattle Mariners,,,1,,6,2,6,4,1,6,98
MICHAEL YOUNG,Texas Rangers,,,1,4,2,2,4,4,3,,92
MARIANO RIVERA,New York Yankees,,,,,2,3,3,3,3,5,59
IVAN RODRIGUEZ,Detroit Tigers,,,,1,1,1,,2,5,2,36
CURT SCHILLING,Boston Red Sox,,,,,,,2,2,,,14
JOE NATHAN,Minnesota Twins,,,,,1,1,,,,1,12
DEREK JETER,New York Yankees,,,,,1,,,1,1,,11
MARK KOTSAY,Oakland Athletics,,,,,,1,,,1,1,8
ALEX RODRIGUEZ,New York Yankees,,,,,,,,2,1,,8
JOHNNY DAMON,Boston Red Sox,,,,,,,,1,2,,7
PAUL KONERKO,Chicago White Sox,,,,,,,,,1,5,7
HANK BLALOCK,Texas Rangers,,,,,,1,,,,,5
MELVIN MORA,Baltimore Orioles,,,,,,,,1,1,,5
HANK TEIXEIRA,Texas Rangers,,,,,,,,1,,2,5
TORII HUNTER,Minnesota Twins,,,,,,,1,,,,4
VICTOR MARTINEZ,Cleveland Indians,,,,,,,1,,,,4
ERUBIEL DURAZO,Oakland Athletics,,,,,,,,1,,,3
FRANCISCO CORDERO,Texas Rangers,,,,,,,,,1,,2
LEW FORD,Minnesota Twins,,,,,,,,,1,,2
CARLOS GUILLEN,Detroit Tigers,,,,,,,,,1,,2
TRAVIS HAFNER,Cleveland Indians,,,,,,,,,1,,2
HIDEKI MATSUI,New York Yankees,,,,,,,,,1,,2
CHONE FIGGINS,Anaheim Angels,,,,,,,,,,2,2
ERIC CHAVEZ,Oakland Athletics,,,,,,,,,,1,1
JASON VARITEK,Boston Red Sox,,,,,,,,,,1,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
