"","ï..Player","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","X","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Alex Rodriguez","New York Yankees",16,11,1,0,0,0,0,0,0,0,331,331,267,160,315,299,283,338,348,370,371.5,242
"2","David Ortiz","Boston Red Sox",11,17,0,0,0,0,0,0,0,0,307,307,263,110,296,285,274,330,347,349,349,229
"3","Vladimir Guerrero","Los Angeles Angels",1,0,9,8,7,1,1,1,0,0,196,196,192,10,195,194,193,204,195,157.1,179.5,86
"4","Manny Ramirez","Boston Red Sox",0,0,9,1,6,2,6,2,0,1,156,156,156,0,156,156,156,165,156,130.3,138.5,54
"5","Travis Hafner","Cleveland Indians",0,0,5,6,4,4,3,3,2,0,151,151,151,0,151,151,151,156,151,123.5,129,47
"6","Paul Konerko","Chicago White Sox",0,0,2,4,6,5,1,3,5,0,128,128,128,0,128,128,128,130,128,105.4,104,28
"7","Mark Teixeira","Texas Rangers",0,0,1,5,0,3,7,4,2,4,106,106,106,0,106,106,106,107,106,93.4,83,20
"8","Gary Sheffield","New York Yankees",0,0,0,3,2,6,2,2,3,1,84,84,84,0,84,84,84,84,84,71,65.5,11
"9","Mariano Rivera","New York Yankees",0,0,1,1,1,3,3,1,3,2,59,59,59,0,59,59,59,60,59,51.8,46,9
"10","Derek Jeter","New York Yankees",0,0,0,0,1,0,3,1,1,0,23,23,23,0,23,23,23,23,23,21.7,17,1
"11","Michael Young","Texas Rangers",0,0,0,0,0,2,0,2,1,2,20,20,20,0,20,20,20,20,20,19.4,14,0
"12","Scott Podsednik","Chicago White Sox",0,0,0,0,1,1,0,1,0,1,15,15,15,0,15,15,15,15,15,13.2,11.5,1
"13","Johnny Damon","Boston Red Sox",0,0,0,0,0,0,1,1,2,1,12,12,12,0,12,12,12,12,12,12.4,7.5,0
"14","Hideki Matsui","New York Yankees",0,0,0,0,0,0,0,2,1,0,8,8,8,0,8,8,8,8,8,9,5,0
"15","Richie Sexson","Seattle Mariners",0,0,0,0,0,0,0,2,0,1,7,7,7,0,7,7,7,7,7,8,4.5,0
"16","Miguel Tejada","Baltimore Orioles",0,0,0,0,0,0,0,0,2,3,7,7,7,0,7,7,7,7,7,7,3.5,0
"17","Chone Figgins","Los Angeles Angels",0,0,0,0,0,0,0,0,1,4,6,6,6,0,6,6,6,6,6,6,3,0
"18","Victor Martinez","Cleveland Indians",0,0,0,0,0,1,0,0,0,0,5,5,5,0,5,5,5,5,5,4.2,4,0
"19","Jason Giambi","New York Yankees",0,0,0,0,0,0,0,1,1,0,5,5,5,0,5,5,5,5,5,5.5,3,0
"20","Brian Roberts","Baltimore Orioles",0,0,0,0,0,0,0,1,0,2,5,5,5,0,5,5,5,5,5,5.5,3,0
"21","Jason Varitek","Boston Red Sox",0,0,0,0,0,0,1,0,0,0,4,4,4,0,4,4,4,4,4,3.9,3,0
"22","Eric Chavez","Oakland Athletics",0,0,0,0,0,0,0,0,1,2,4,4,4,0,4,4,4,4,4,4,2,0
"23","Huston Street","Oakland Athletics",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"24","Bartolo Colon","Los Angeles Angels",0,0,0,0,0,0,0,0,1,1,3,3,3,0,3,3,3,3,3,3,1.5,0
"25","Grady Sizemore","Cleveland Indians",0,0,0,0,0,0,0,0,1,1,3,3,3,0,3,3,3,3,3,3,1.5,0
"26","Bob Wickman","Cleveland Indians",0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"27","Jorge Cantu","Tampa Bay Devil Rays",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"28","Jose Contreras","Chicago White Sox",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"29","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
