,ï..Player,X,X1st,X2nd,X3rd,X4th,X5th,X6th,X7th,X8th,X9th,X10th,Total,bbwaa_totals,consistent_totals,only_10_totals,gap_13_totals,gap_12_totals,gap_11_totals,gap_13_11_9_7totals,gap_13_12_8totals,benoit_1_totals,benoit_2_totals,benoit_4_totals
1,"Justin Verlander, Detroit Tigers",0,13,3,3,4,1,2,0,1,0,0,280,280,228,130,267,254,241,276,276,288.9,296,179
2,"Jacoby Ellsbury, Boston Red Sox",0,4,13,4,1,4,1,0,0,0,1,242,242,226,40,238,234,230,268,277,252.7,261,158
3,"Jose Bautista, Toronto Blue Jays",0,5,7,4,4,4,1,1,1,1,0,231,231,211,50,226,221,216,244,247,228.6,237,135
4,"Curtis Granderson, New York Yankees",0,3,4,4,8,6,1,2,0,0,0,215,215,203,30,212,209,206,224,224,193.5,208.5,108
5,"Miguel Cabrera, Detroit Tigers",0,2,0,9,5,5,2,4,0,1,0,193,193,185,20,191,189,187,200,191,163,179,85
6,"Robinson Cano, New York Yankees",0,0,0,2,2,3,6,4,5,1,1,112,112,112,0,112,112,112,114,112,97.8,90.5,19
7,"Adrian Gonzalez, Boston Red Sox",0,0,0,1,1,2,6,8,3,3,1,105,105,105,0,105,105,105,106,105,94.4,81.5,10
8,"Michael Young, Texas Rangers",0,1,1,1,1,1,1,4,7,4,2,96,96,92,10,95,94,93,98,98,96.3,80,26
9,"Dustin Pedroia, Boston Red Sox",0,0,0,0,0,0,4,1,4,6,0,48,48,48,0,48,48,48,48,48,46.7,33,0
10,"Evan Longoria, Tampa Bay Rays",0,0,0,0,2,0,0,1,2,0,3,27,27,27,0,27,27,27,27,27,23.9,20.5,6
11,"Ian Kinsler, Texas Rangers",0,0,0,0,0,1,2,1,1,1,0,25,25,25,0,25,25,25,25,25,22.3,19,1
12,"Alex Avila, Detroit Tigers",0,0,0,0,0,0,0,1,1,2,2,13,13,13,0,13,13,13,13,13,13.4,8,0
13,"Paul Konerko, Chicago White Sox",0,0,0,0,0,0,0,0,0,5,1,11,11,11,0,11,11,11,11,11,11,5.5,0
14,"CC Sabathia, New York Yankees",0,0,0,0,0,0,2,0,0,0,0,10,10,10,0,10,10,10,10,10,8.4,8,0
15,"Adrian Beltre, Texas Rangers",0,0,0,0,0,0,0,0,2,1,1,9,9,9,0,9,9,9,9,9,10,5.5,0
16,"Ben Zobrist, Tampa Bay Rays",0,0,0,0,0,1,0,0,0,0,1,7,7,7,0,7,7,7,7,7,5.5,5.5,1
17,"Victor Martinez, Detroit Tigers",0,0,0,0,0,0,0,0,1,1,2,7,7,7,0,7,7,7,7,7,7.5,4,0
18,"James Shields, Tampa Bay Rays",0,0,0,0,0,0,0,0,0,1,5,7,7,7,0,7,7,7,7,7,7,3.5,0
19,"Mark Teixeira, New York Yankees",0,0,0,0,0,0,0,1,0,0,1,5,5,5,0,5,5,5,5,5,4.9,3.5,0
20,"Asdrubal Cabrera, Cleveland Indians",0,0,0,0,0,0,0,0,0,1,2,4,4,4,0,4,4,4,4,4,4,2,0
21,"Alex Gordon, Kansas City Royals",0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,3,3,3,1.5,0
22,"Josh Hamilton, Texas Rangers",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
23,"David Robertson, New York Yankees",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
