"","ï..Player","X","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Mike Trout, Angels",0,19,8,1,0,1,0,1,0,0,0,356,356,280,190,337,318,299,354,361,393.4,394.5,252
"2","Mookie Betts, Red Sox",0,9,17,4,0,0,0,0,0,0,0,311,311,275,90,302,293,284,340,353,344,350,229
"3","Jose Altuve, Astros",0,0,2,15,11,2,0,0,0,0,0,227,227,227,0,227,227,227,246,233,182.5,217,124
"4","Josh Donaldson, Blue Jays",0,0,2,9,7,6,4,0,1,1,0,200,200,200,0,200,200,200,213,206,163.8,184,86
"5","Manny Machado, Orioles",0,0,0,0,5,7,9,4,3,1,1,150,150,150,0,150,150,150,150,150,123.4,120.5,22
"6","David Ortiz, Red Sox",0,1,1,0,3,4,8,5,4,3,1,147,147,143,10,146,145,144,148,149,133.1,122.5,30
"7","Adrian Beltre, Rangers",0,1,0,1,3,6,2,7,5,1,1,135,135,131,10,134,133,132,135,134,120.2,112,30
"8","Robinson Cano, Mariners",0,0,0,0,1,2,3,4,5,4,6,79,79,79,0,79,79,79,79,79,73.7,57,5
"9","Francisco Lindor, Indians",0,0,0,0,0,2,0,4,5,4,5,56,56,56,0,56,56,56,56,56,55.1,38.5,2
"10","Miguel Cabrera, Tigers",0,0,0,0,0,0,3,3,3,9,2,56,56,56,0,56,56,56,56,56,54.8,37,0
"11","Zach Britton, Orioles",0,0,0,0,0,0,0,0,1,3,2,11,11,11,0,11,11,11,11,11,11.5,6,0
"12","Kyle Seager, Mariners",0,0,0,0,0,0,0,2,0,0,2,10,10,10,0,10,10,10,10,10,9.8,7,0
"13","Brian Dozier, Twins",0,0,0,0,0,0,0,0,1,1,4,9,9,9,0,9,9,9,9,9,9.5,5,0
"14","Edwin Encarnacion, Blue Jays",0,0,0,0,0,0,0,0,1,1,2,7,7,7,0,7,7,7,7,7,7.5,4,0
"15","Nelson Cruz, Mariners",0,0,0,0,0,0,1,0,0,0,1,6,6,6,0,6,6,6,6,6,5.2,4.5,0
"16","Chris Sale, White Sox",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"17","Jose Ramirez, Indians",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"18","Justin Verlander, Tigers",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"19","Adam Eaton, White Sox",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"20","Corey Kluber, Indians",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"21","Evan Longoria, Rays",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
