"","�..Player","X","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Mookie Betts, Red Sox",0,28,2,0,0,0,0,0,0,0,0,410,410,298,280,382,354,326,386,388,455,455,294
"2","Mike Trout, Angels",0,1,24,2,1,2,0,0,0,0,0,265,265,261,10,264,263,262,314,336,294.5,299.5,193
"3","José Ramírez, Indians",0,0,1,10,11,3,4,1,0,0,0,208,208,208,0,208,208,208,220,211,164.7,190.5,93
"4","J.D. Martinez, Red Sox",0,1,2,8,5,5,2,6,1,0,0,198,198,194,10,197,196,195,209,203,171.3,183.5,84
"5","Alex Bregman, Astros",0,0,1,4,10,9,3,3,0,0,0,192,192,192,0,192,192,192,198,195,151.3,168.5,66
"6","Francisco Lindor, Indians",0,0,0,4,3,7,11,4,1,0,0,169,169,169,0,169,169,169,173,169,137.8,143,36
"7","Matt Chapman, Athletics",0,0,0,2,0,4,9,12,2,1,0,141,141,141,0,141,141,141,143,141,124.6,113,14
"8","Khris Davis, Athletics",0,0,0,0,0,0,0,1,9,4,2,41,41,41,0,41,41,41,41,41,45.4,26,0
"9","Blake Snell, Rays",0,0,0,0,0,0,0,1,7,6,1,38,38,38,0,38,38,38,38,38,41.4,23.5,0
"10","Justin Verlander, Astros",0,0,0,0,0,0,1,0,4,3,3,26,26,26,0,26,26,26,26,26,27.2,16.5,0
"11","Mitch Haniger, Mariners",0,0,0,0,0,0,0,0,2,3,4,16,16,16,0,16,16,16,16,16,17,9,0
"12","Aaron Judge, Yankees",0,0,0,0,0,0,0,2,0,0,2,10,10,10,0,10,10,10,10,10,9.8,7,0
"13","Xander Bogaerts, Red Sox",0,0,0,0,0,0,0,0,2,1,1,9,9,9,0,9,9,9,9,9,10,5.5,0
"14","Jose Altuve, Astros",0,0,0,0,0,0,0,0,0,4,1,9,9,9,0,9,9,9,9,9,9,4.5,0
"15","Blake Treinen, Athletics",0,0,0,0,0,0,0,0,1,0,4,7,7,7,0,7,7,7,7,7,7.5,4,0
"16","Andrelton Simmons, Angels",0,0,0,0,0,0,0,0,0,2,3,7,7,7,0,7,7,7,7,7,7,3.5,0
"17","Whit Merrifield, Royals",0,0,0,0,0,0,0,0,0,2,2,6,6,6,0,6,6,6,6,6,6,3,0
"18","Edwin Diaz, Mariners",0,0,0,0,0,0,0,0,0,2,1,5,5,5,0,5,5,5,5,5,5,2.5,0
"19","Giancarlo Stanton, Yankees",0,0,0,0,0,0,0,0,1,0,1,4,4,4,0,4,4,4,4,4,4.5,2.5,0
"20","Didi Gregorius, Yankees",0,0,0,0,0,0,0,0,0,1,1,3,3,3,0,3,3,3,3,3,3,1.5,0
"21","Jed Lowrie, Athletics",0,0,0,0,0,0,0,0,0,1,1,3,3,3,0,3,3,3,3,3,3,1.5,0
"22","Trevor Bauer, Indians",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"23","Aaron Hicks, Yankees",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"24","Chris Sale, Red Sox",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
