Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
bonds,,23,1,0,0,0,0,0,0,0,0,331
bonilla,,1,18,3,1,0,1,0,0,0,0,212
strawberry,,,3,12,4,0,1,2,0,1,1,167
rs,,,2,4,7,6,1,2,1,0,0,151
em,,,,2,6,5,4,1,3,1,0,123
mw,,,,1,2,1,7,3,5,2,1,95
bl,,,,0,0,7,5,1,3,1,0,82
dd,,,,0,2,1,2,2,4,4,1,59
ld,,,,1,1,0,0,2,1,4,7,41
tw,,,,0,0,0,1,6,0,3,1,36
km,,,,0,0,1,0,1,2,1,2,20
ed,,,,1,0,0,0,1,0,0,0,12
cs,,,,,0,1,1,0,0,0,0,11
rg,,,,,0,0,0,0,0,4,2,10
dg,,,,,0,0,1,1,0,0,1,10
rm,,,,,1,0,,0,0,0,2,9
jc,,,,,,0,,1,0,1,1,7
rm,,,,,,0,,1,1,0,0,7
po,,,,,,1,,,0,0,0,6
jr,,,,,,1,,,0,0,0,6
ad,,,,,,,,,2,0,0,6
dm,,,,,,,,,1,0,1,4
bs,,,,,,,,,1,0,0,3
bb,,,,,,,,0,0,0,2,2
dj,,,,,,,,0,,1,0,2
pg,,,,,,,,,,1,0,2
kd,,,,,,,,,,,1,1
as,,,,,,,,,,,1,1
