"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","X.1","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","bonds",0,23,1,0,0,0,0,0,0,0,0,331,331,239,230,308,285,262,310,311,367,367,237
"2","bonilla",0,1,18,3,1,0,1,0,0,0,0,212,212,208,10,211,210,209,250,265,233.2,238.5,154
"3","strawberry",0,0,3,12,4,0,1,2,0,1,1,167,167,167,0,167,167,167,185,176,144.5,163,93
"4","rs",0,0,2,4,7,6,1,2,1,0,0,151,151,151,0,151,151,151,159,157,124.5,137,61
"5","em",0,0,0,2,6,5,4,1,3,1,0,123,123,123,0,123,123,123,125,123,98.7,103,33
"6","mw",0,0,0,1,2,1,7,3,5,2,1,95,95,95,0,95,95,95,96,95,84.6,74.5,12
"7","bl",0,0,0,0,0,7,5,1,3,1,0,82,82,82,0,82,82,82,82,82,68.9,65,7
"8","dd",0,0,0,0,2,1,2,2,4,4,1,59,59,59,0,59,59,59,59,59,53.7,43.5,7
"9","ld",0,0,0,1,1,0,0,2,1,4,7,41,41,41,0,41,41,41,42,41,37.8,29.5,8
"10","tw",0,0,0,0,0,0,1,6,0,3,1,36,36,36,0,36,36,36,36,36,34.6,25.5,0
"11","km",0,0,0,0,0,1,0,1,2,1,2,20,20,20,0,20,20,20,20,20,19.4,14,1
"12","ed",0,0,0,1,0,0,0,1,0,0,0,12,12,12,0,12,12,12,13,12,10.4,11,5
"13","cs",0,0,0,0,0,1,1,0,0,0,0,11,11,11,0,11,11,11,11,11,8.7,9,1
"14","rg",0,0,0,0,0,0,0,0,0,4,2,10,10,10,0,10,10,10,10,10,10,5,0
"15","dg",0,0,0,0,0,0,1,1,0,0,1,10,10,10,0,10,10,10,10,10,9.1,7.5,0
"16","rm",0,0,0,0,1,0,0,0,0,0,2,9,9,9,0,9,9,9,9,9,7,7,3
"17","jc",0,0,0,0,0,0,0,1,0,1,1,7,7,7,0,7,7,7,7,7,6.9,4.5,0
"18","rm",0,0,0,0,0,0,0,1,1,0,0,7,7,7,0,7,7,7,7,7,7.4,5,0
"19","po",0,0,0,0,0,1,0,0,0,0,0,6,6,6,0,6,6,6,6,6,4.5,5,1
"20","jr",0,0,0,0,0,1,0,0,0,0,0,6,6,6,0,6,6,6,6,6,4.5,5,1
"21","ad",0,0,0,0,0,0,0,0,2,0,0,6,6,6,0,6,6,6,6,6,7,4,0
"22","dm",0,0,0,0,0,0,0,0,1,0,1,4,4,4,0,4,4,4,4,4,4.5,2.5,0
"23","bs",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"24","bb",0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0
"25","dj",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"26","pg",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"27","kd",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"28","as",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
