,ï..Player,X,X2nd,X3rd,X4th,X5th,X6th,X7th,X8th,X9th,X10th,Total,bbwaa_totals,consistent_totals,only_10_totals,gap_13_totals,gap_12_totals,gap_11_totals,gap_13_11_9_7totals,gap_13_12_8totals,benoit_1_totals,benoit_2_totals,benoit_4_totals
1,b,0,18,4,2,0,0,0,0,0,0,0,304,232,180,286,268,250,296,298,334,337,218
2,t,0,4,16,4,0,0,0,0,0,0,0,232,216,40,228,224,220,264,276,256,262,172
3,g,0,2,3,17,1,1,0,0,0,0,0,204,196,20,202,200,198,225,211,182.5,209.5,130
4,a,0,0,1,0,9,9,2,1,1,1,0,145,145,0,145,145,145,147,148,113.8,123.5,43
5,l,0,0,0,0,5,5,5,2,3,1,2,111,111,0,111,111,111,111,111,90.8,89,20
6,d,0,0,0,1,2,5,5,1,4,3,1,100,100,0,100,100,100,101,100,84.9,79.5,16
7,f,0,0,0,0,5,2,5,5,1,2,1,100,100,0,100,100,100,100,100,83,79.5,17
8,b,0,0,0,0,2,0,2,6,1,6,1,64,64,0,64,64,64,64,64,58.3,46.5,6
9,m,0,0,0,0,0,1,3,3,5,2,2,54,54,0,54,54,54,54,54,52.3,39,1
10,t,0,0,0,0,0,0,0,2,2,1,2,18,18,0,18,18,18,18,18,18.8,12,0
11,g,0,0,0,0,0,0,1,1,1,0,2,14,14,0,14,14,14,14,14,13.6,10,0
12,r,0,0,0,0,0,0,0,1,2,0,2,12,12,0,12,12,12,12,12,12.9,8,0
13,b,0,0,0,0,0,0,0,1,1,2,1,12,12,0,12,12,12,12,12,12.4,7.5,0
14,d,0,0,0,0,0,0,0,1,0,1,2,8,8,0,8,8,8,8,8,7.9,5,0
15,j,0,0,0,0,0,0,1,0,1,0,0,8,8,0,8,8,8,8,8,7.7,6,0
16,m,0,0,0,0,0,0,0,0,1,1,1,6,6,0,6,6,6,6,6,6.5,3.5,0
17,d,0,0,0,0,0,1,0,0,0,0,0,6,6,0,6,6,6,6,6,4.5,5,1
18,r,0,0,0,0,0,0,0,0,0,1,3,5,5,0,5,5,5,5,5,5,2.5,0
19,j,0,0,0,0,0,0,0,0,1,0,1,4,4,0,4,4,4,4,4,4.5,2.5,0
20,d,0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,3,3,3,3,3,1.5,0
21,b,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
22,o,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
23,o,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
24,j,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
