"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","s",0,30,2,0,0,0,0,0,0,0,0,438,318,300,408,378,348,412,414,486,486,314
"2","m",0,2,20,3,1,4,1,1,0,0,0,272,264,20,270,268,266,313,330,291.6,298,182
"3","m",0,0,6,8,9,3,1,1,1,1,2,215,215,0,215,215,215,235,233,189.1,207,112
"4","g",0,0,0,7,8,6,4,2,2,1,1,185,185,0,185,185,185,192,185,147.1,161.5,65
"5","c",0,0,3,5,7,2,2,5,0,2,1,163,163,0,163,163,163,174,172,140.9,149,69
"6","a",0,0,0,1,1,6,9,10,3,1,0,147,147,0,147,147,147,148,147,127.8,117,14
"7","t",0,0,0,5,5,3,4,0,0,2,0,117,117,0,117,117,117,122,117,91.8,103,43
"8","b",0,0,1,0,0,1,2,3,5,6,2,66,66,0,66,66,66,68,69,66.6,49.5,8
"9","c",0,0,0,2,0,1,2,2,4,1,2,56,56,0,56,56,56,58,56,51.7,45,11
"10","j",0,0,0,1,0,2,2,2,4,2,2,56,56,0,56,56,56,57,56,51.7,43,7
"11","v",0,0,0,0,0,2,2,0,5,3,6,49,49,0,49,49,49,49,49,46.9,34,2
"12","j",0,0,0,0,0,1,1,2,2,5,3,38,38,0,38,38,38,38,38,36.5,25.5,1
"13","v",0,0,0,0,0,0,0,2,2,2,7,25,25,0,25,25,25,25,25,25.8,15.5,0
"14","m",0,0,0,0,0,0,1,0,2,2,0,15,15,0,15,15,15,15,15,15.2,10,0
"15","t",0,0,0,0,0,1,1,0,0,0,0,11,11,0,11,11,11,11,11,8.7,9,1
"16","k",0,0,0,0,0,0,0,1,1,0,1,8,8,0,8,8,8,8,8,8.4,5.5,0
"17","l",0,0,0,0,1,0,0,0,0,0,0,7,7,0,7,7,7,7,7,5,6,3
"18","r",0,0,0,0,0,0,0,0,1,1,0,5,5,0,5,5,5,5,5,5.5,3,0
"19","j",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"20","s",0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,3,3,3,3,3,1.5,0
"21","t",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"22","r",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"23","d",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"24","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"25","m",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
