Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
b,,30,2,0,0,0,0,0,0,0,0
s,,2,17,8,4,0,1,0,0,0,0
l,,,8,21,3,0,0,0,0,0,0
a,,,5,3,18,3,0,1,1,1,0
l,,,,,1,13,5,1,2,1,3
s,,,,,1,5,5,4,6,7,2
j,,,,,3,5,5,3,2,7,1
c,,,,,0,2,5,11,3,5,0
t,,,,,1,1,6,5,6,3,3
c,,,,,0,0,2,1,2,1,2
r,,,,,1,0,0,1,3,0,3
r,,,,,,0,0,2,2,1,4
m,,,,,,1,1,0,1,0,0
m,,,,,,2,0,0,0,0,1
m,,,,,,,1,1,1,0,1
b,,,,,,,0,0,2,0,3
j,,,,,,,0,0,1,2,1
b,,,,,,,1,0,,1,0
p,,,,,,,,1,,0,2
f,,,,,,,,1,,0,0
p,,,,,,,,0,,1,1
c,,,,,,,,,,1,0
r,,,,,,,,,,1,0
b,,,,,,,,,,,1
v,,,,,,,,,,,1
s,,,,,,,,,,,1
s,,,,,,,,,,,1
l,,,,,,,,,,,1
