"","ï..Player","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","X","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Albert Pujols","St. Louis Cardinals",18,14,0,0,0,0,0,0,0,0,378,378,306,180,360,342,324,388,402,426,426,278
"2","Andruw Jones","Atlanta Braves",13,17,2,0,0,0,0,0,0,0,351,351,299,130,338,325,312,374,389,393,396,259
"3","Derrek Lee","Chicago Cubs",1,1,30,0,0,0,0,0,0,0,263,263,259,10,262,261,260,294,265,221,266,167
"4","Morgan Ensberg","Houston Astros",0,0,0,10,7,7,2,1,1,0,160,160,160,0,160,160,160,160,160,124.2,132,37
"5","Miguel Cabrera","Florida Marlins",0,0,0,13,4,1,2,3,4,1,146,146,146,0,146,146,146,146,146,114.5,118.5,43
"6","Carlos Delgado","Florida Marlins",0,0,0,2,6,2,4,2,1,0,84,84,84,0,84,84,84,84,84,70,67,12
"7","Pat Burrell","Philadelphia Phillies",0,0,0,0,4,6,1,0,3,1,65,65,65,0,65,65,65,65,65,54.1,50.5,4
"8","Chris Carpenter","St. Louis Cardinals",0,0,0,1,3,3,1,2,1,0,52,52,52,0,52,52,52,52,52,44,41,6
"9","Brian Giles","San Diego Padres",0,0,0,1,2,2,2,1,2,4,48,48,48,0,48,48,48,48,48,41.7,36,5
"10","Jimmy Rollins","Philadelphia Phillies",0,0,0,2,1,0,2,4,1,3,45,45,45,0,45,45,45,45,45,41.3,33.5,7
"11","Dontrelle Willis","Florida Marlins",0,0,0,0,2,3,2,1,2,0,42,42,42,0,42,42,42,42,42,36.9,32,2
"12","Jason Bay","Pittsburgh Pirates",0,0,0,1,0,1,4,1,5,0,41,41,41,0,41,41,41,41,41,38.3,29,3
"13","Chase Utley","Philadelphia Phillies",0,0,0,0,0,2,2,0,1,2,22,22,22,0,22,22,22,22,22,20.2,16,0
"14","Lance Berkman","Houston Astros",0,0,0,1,0,0,1,1,3,1,21,21,21,0,21,21,21,21,21,19.4,14.5,3
"15","Bobby Abreu","Philadelphia Phillies",0,0,0,0,1,1,1,2,0,0,21,21,21,0,21,21,21,21,21,19.6,16,1
"16","Chad Cordero","Washington Nationals",0,0,0,0,0,1,2,0,2,4,21,21,21,0,21,21,21,21,21,20,14,0
"17","Trevor Hoffman","San Diego Padres",0,0,0,1,0,0,2,1,0,1,19,19,19,0,19,19,19,19,19,17.3,14.5,3
"18","Carlos Lee","Milwaukee Brewers",0,0,0,0,0,1,1,2,1,2,19,19,19,0,19,19,19,19,19,19.1,13,0
"19","Jeff Kent","Los Angeles Dodgers",0,0,0,0,1,1,0,2,0,1,18,18,18,0,18,18,18,18,18,16.7,13.5,1
"20","David Wright","New York Mets",0,0,0,0,1,0,1,2,0,2,18,18,18,0,18,18,18,18,18,17.4,13,1
"21","David Eckstein","St. Louis Cardinals",0,0,0,0,0,1,2,0,0,2,15,15,15,0,15,15,15,15,15,14,11,0
"22","Roger Clemens","Houston Astros",0,0,0,0,0,0,0,2,1,0,8,8,8,0,8,8,8,8,8,9,5,0
"23","Roy Oswalt","Houston Astros",0,0,0,0,0,0,0,1,1,1,6,6,6,0,6,6,6,6,6,6.5,3.5,0
"24","Ken Griffey Jr.","Cincinnati Reds",0,0,0,0,0,0,0,1,1,0,5,5,5,0,5,5,5,5,5,5.5,3,0
"25","Andy Pettitte","Houston Astros",0,0,0,0,0,0,0,0,2,1,5,5,5,0,5,5,5,5,5,5,2.5,0
"26","Jim Edmonds","St. Louis Cardinals",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"27","Cliff Floyd","New York Mets",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"28","Marcus Giles","Atlanta Braves",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"29","Adam Dunn","Cincinnati Reds",0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,3,3,3,1.5,0
"30","Scott Eyre","San Francisco Giants",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"31","Brad Lidge","Houston Astros",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"32","Jose Reyes","New York Mets",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"33","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
