Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
Ryan Howard,Philadelphia Phillies,20,12,,,,,,,,,388
Albert Pujols,St. Louis Cardinals,12,19,1,,,,,,,,347
Lance Berkman,Houston Astros,,,21,4,3,2,1,,1,,230
Carlos Beltran,New York Mets,,1,5,15,6,2,2,1,,,211
Miguel Cabrera,Florida Marlins,,,2,6,10,5,5,1,2,,170
Alfonso Soriano,Washington Nationals,,,1,2,4,6,1,7,2,1,106
Jose Reyes,New York Mets,,,1,1,5,5,3,4,1,2,98
Chase Utley,Philadelphia Phillies,,,,1,,6,7,10,1,1,98
David Wright,New York Mets,,,1,1,2,2,5,2,3,1,70
Trevor Hoffman,San Diego Padres,,,,2,1,1,1,2,2,7,46
Andruw Jones,Atlanta Braves,,,,,,1,2,1,5,3,29
Carlos Delgado,New York Mets,,,,,1,1,1,,2,4,23
Nomar Garciaparra,Los Angeles Dodgers,,,,,,,2,,3,4,18
Rafael Furcal,Los Angeles Dodgers,,,,,,,1,,3,1,11
Garrett Atkins,Colorado Rockies,,,,,,1,,1,,2,10
Matt Holliday,Colorado Rockies,,,,,,,,1,2,3,10
Aramis Ramirez,Chicago Cubs,,,,,,,,1,1,,5
Freddy Sanchez,Pittsburgh Pirates,,,,,,,,,2,1,5
Chris Carpenter,St. Louis Cardinals,,,,,,,1,,,,4
Chipper Jones,Atlanta Braves,,,,,,,,1,,,3
Mike Cameron,San Diego Padres,,,,,,,,,1,,2
Jimmy Rollins,Philadelphia Phillies,,,,,,,,,1,,2
Bronson Arroyo,Cincinnati Reds,,,,,,,,,,1,1
Jason Bay,Pittsburgh Pirates,,,,,,,,,,1,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
