"","ï..Player","X","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Albert Pujols, St. Louis",0,18,10,2,1,0,0,1,0,0,0,369,369,297,180,351,333,315,373,381,405.9,409,263
"2","Ryan Howard, Philadelphia",0,12,8,6,0,1,1,2,0,0,1,308,308,260,120,296,284,272,318,320,326.5,333.5,207
"3","Ryan Braun, Milwaukee",0,0,2,3,5,5,2,2,3,2,1,139,139,139,0,139,139,139,146,145,119.7,122.5,49
"4","Manny Ramirez, Los Angeles",0,0,2,4,7,2,3,2,0,1,2,138,138,138,0,138,138,138,146,144,115.4,125,57
"5","Lance Berkman, Houston",0,0,2,4,4,1,3,3,4,1,1,126,126,126,0,126,126,126,134,132,112.8,112.5,47
"6","CC Sabathia, Milwaukee",0,0,4,5,1,2,2,3,0,1,2,121,121,121,0,121,121,121,134,133,112.6,117,58
"7","David Wright, New York",0,0,2,1,4,3,3,2,5,2,1,115,115,115,0,115,115,115,120,121,103.9,98.5,34
"8","Brad Lidge, Philadelphia",0,2,0,2,0,4,3,2,3,1,2,104,104,96,20,102,100,98,104,102,96.9,93,34
"9","Carlos Delgado, New York",0,0,0,5,1,2,5,0,2,3,0,96,96,96,0,96,96,96,101,96,80.5,83,30
"10","Aramis Ramirez, Chicago",0,0,0,0,2,4,1,1,4,3,1,66,66,66,0,66,66,66,66,66,57.1,50.5,10
"11","Hanley Ramirez, Florida",0,0,0,0,2,2,2,1,2,2,5,55,55,55,0,55,55,55,55,55,47.3,41.5,8
"12","Chipper Jones, Atlanta",0,0,1,0,0,0,2,4,1,2,2,44,44,44,0,44,44,44,46,47,44,35.5,7
"13","Geovanny Soto, Chicago",0,0,0,0,3,1,0,3,0,1,0,41,41,41,0,41,41,41,41,41,33.2,33,10
"14","Johan Santana, New York",0,0,1,0,1,0,1,1,0,2,1,30,30,30,0,30,30,30,32,33,28.6,26,10
"15","Chase Utley, Philadelphia",0,0,0,0,1,1,1,1,0,3,2,30,30,30,0,30,30,30,30,30,25.6,22,4
"16","Ryan Ludwick, St. Louis",0,0,0,0,0,0,0,1,2,3,1,17,17,17,0,17,17,17,17,17,17.9,10.5,0
"17","Brandon Webb, Arizona",0,0,0,0,0,2,0,0,0,1,0,14,14,14,0,14,14,14,14,14,11,11,2
"18","Adrian Gonzalez, San Diego",0,0,0,0,0,0,0,1,1,1,4,13,13,13,0,13,13,13,13,13,13.4,8,0
"19","Matt Holliday, Colorado",0,0,0,0,0,0,1,1,1,0,1,13,13,13,0,13,13,13,13,13,12.6,9.5,0
"20","Prince Fielder, Milwaukee",0,0,0,0,0,0,1,0,1,1,1,11,11,11,0,11,11,11,11,11,10.7,7.5,0
"21","Derrek Lee, Chicago",0,0,0,0,0,1,0,1,0,0,0,10,10,10,0,10,10,10,10,10,8.4,8,1
"22","Carlos Beltran, New York",0,0,0,0,0,1,0,0,1,0,1,10,10,10,0,10,10,10,10,10,9,7.5,1
"23","Tim Lincecum, San Francisco",0,0,0,0,0,0,1,0,0,1,2,9,9,9,0,9,9,9,9,9,8.2,6,0
"24","Jose Reyes, New York",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"25","Jose Valverde, Houston",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"26","Stephen Drew, Arizona",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"27","Nate McClouth, Pittsburgh",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
