Player,,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
"Albert Pujols, Cardinals",,32,,,,,,,,,,448
"Hanley Ramirez, Marlins",,,15,5,3,3,,2,3,1,,233
"Ryan Howard, Phillies",,,6,8,7,5,1,3,1,,,217
"Prince Fielder, Brewers",,,5,9,7,3,1,,3,1,3,203
"Troy Tulowitzki, Rockies",,,3,6,5,5,5,1,1,,,172
"Andre Ethier, Dodgers",,,2,,3,2,5,4,5,3,,113
"Pablo Sandoval, Giants",,,,1,,2,5,5,6,1,4,89
"Chase Utley, Phillies",,,,2,2,1,5,4,,3,1,84
"Derrek Lee, Cubs",,,1,,,3,3,2,2,5,,66
"Matt Kemp, Dodgers",,,,,2,1,2,3,1,1,2,49
"Ryan Braun, Brewers",,,,,,3,1,,2,4,6,43
"Adrian Gonzalez, Padres",,,,,1,,1,,3,2,5,30
"Todd Helton, Rockies",,,,1,1,,1,1,,2,,28
"Chris Carpenter, Cardinals",,,,,,1,2,1,,2,1,25
"Adam Wainwright, Cards",,,,,,1,,,2,1,2,16
"Matt Holliday,Cardinals",,,,,1,,,1,,2,,15
"Jayson Werth, Phillies",,,,,,1,,1,,,,10
"Shane Victorino, Phillies",,,,,,,,2,,,,8
"Tim Lincecum, Giants",,,,,,,,1,,1,2,8
"Yunel Escobar, Braves",,,,,,1,,,,,,6
"Mark Reynolds, D-backs",,,,,,,,,1,1,1,6
"Joey Votto, Reds",,,,,,,,1,,,,4
"Yadier Molina, Cardinals",,,,,,,,,1,,,3
"Miguel Tejada, Astros",,,,,,,,,1,,,3
"Huston Street, Rockies",,,,,,,,,,1,,2
"Justin Upton, D-backs",,,,,,,,,,1,,2
"Ryan Zimmerman, Nationals",,,,,,,,,,,2,2
"Jeremy Affeldt, Giants",,,,,,,,,,,1,1
"Chris Coghlan, Marlins",,,,,,,,,,,1,1
"Brad Hawpe, Rockies",,,,,,,,,,,1,1
